folder,zone,species,x,y,z,yaw_deg,scale
Heroes,PadBamboo,T08_14,-348.23,230.65,-98.01,124.3,4.3384
Heroes,PadBamboo,T08_15,-374.97,257.44,-84.63,261.8,3.0566
Heroes,PadBamboo,T03_35,-196.90,204.78,80.66,130.8,3.0566
Heroes,PadBamboo,T08_16,-367.97,224.25,-64.86,39.2,3.0566
Heroes,PadBamboo,T08_18,-323.63,208.87,-64.86,314.1,3.0566
Heroes,PadBamboo,T09_12,-248.54,191.09,-41.88,311.8,3.2492
Heroes,PadBamboo,T02_32,-139.69,179.02,78.84,78.5,3.0566
Heroes,PadBamboo,T05_46,-339.97,221.18,75.07,202.8,3.0566
Heroes,PadBamboo,T05_45,-350.77,234.22,80.24,65.4,3.5496
Heroes,PadBamboo,T06_47,-398.26,229.46,64.43,340.3,3.0566
Heroes,PadBamboo,T02_33,-125.34,180.56,75.59,215.9,3.5496
Heroes,PadBamboo,T06_48,-390.09,238.79,85.83,117.7,3.5496
Heroes,PadBamboo,T13_22,-5.96,218.99,-161.45,144.0,3.9440
Heroes,PadBamboo,T01_27,49.53,206.51,140.32,26.6,2.7385
Heroes,PadBamboo,T05_42,-315.08,222.65,103.47,13.0,3.5496
Heroes,PadBamboo,T04_36,-194.99,233.26,112.01,268.3,3.0566
Heroes,PadBamboo,T05_41,-323.69,227.05,101.27,235.6,4.3384
Heroes,PadBamboo,T04_38,-154.68,196.70,99.82,183.2,3.0566
Heroes,PadBamboo,T01_27,22.85,206.51,124.37,297.3,2.7385
Heroes,PadBamboo,T09_12,-255.42,186.12,-40.12,252.9,3.2492
Heroes,PadBamboo,T07_50,-284.05,213.77,59.43,32.6,4.3384
Heroes,PadBamboo,T10_4,-202.07,217.15,-100.18,189.8,3.9440
Heroes,PadBamboo,T06_49,-362.04,227.28,70.40,255.2,3.9440
Heroes,PadBamboo,T10_3,-188.33,216.95,-105.47,52.4,3.5496
Heroes,PadBamboo,T13_21,4.77,216.14,-162.65,6.5,3.5496
Heroes,PadBamboo,T12_20,-134.25,164.97,-62.81,229.1,4.3384
Heroes,PadBamboo,T09_10,-286.41,239.89,-72.64,294.5,3.0566
Heroes,PadBamboo,T09_12,-262.85,183.58,-35.71,164.0,3.2492
Heroes,PadBamboo,T08_13,-339.40,229.25,-98.01,346.9,3.9440
Heroes,PadBamboo,T12_19,-123.89,164.45,-65.83,91.6,3.9440
Heroes,Heroes,DockHero_3,-342.96,189.53,-24.10,96.8,0.3846
Heroes,Heroes,SugiE,54.15,137.40,-58.35,39.2,0.9942
Heroes,Heroes,RimHero_Maple,-340.00,202.96,-51.00,131.8,1.0000
Heroes,Hero_new_CedarM,RedwoodTree-Var01,-5.70,150.67,70.40,284.4,0.2594
Heroes,Heroes,PineNiwakiF,20.43,200.41,116.55,279.1,1.0000
Heroes,Heroes,PoolIris_6,-349.00,189.47,12.00,238.0,1.0000
Heroes,Heroes,SugiD,52.95,130.81,44.33,0.0,0.9960
Heroes,Heroes,SugiC,16.40,158.66,-77.29,0.0,0.9988
Heroes,Heroes,PineNiwakiE,48.01,125.94,57.81,318.7,0.8427
Heroes,Heroes,MapleRed,-23.19,146.42,-59.16,347.8,1.5814
Heroes,Heroes,MapleGreen,-5.38,140.90,-55.09,277.8,1.0192
Heroes,Heroes,SugiSmart,42.78,133.09,-50.58,0.0,1.0017
Heroes,BambooGrove,Bamboo_2,-207.00,172.14,-23.00,137.5,4.3384
Heroes,BambooGrove,Bamboo_3,-206.00,170.79,-15.00,252.1,4.6835
Heroes,BambooGrove,Bamboo_1,-209.00,173.36,-31.00,34.4,4.9291
Heroes,Heroes,MapleGold,-28.44,139.26,-51.86,253.0,1.2115
Heroes,Heroes,RimHero_Katsura,-344.00,211.08,-58.00,40.1,1.0000
Heroes,Heroes,DockHero_1,-338.60,187.16,-12.03,0.0,1.0000
Heroes,Heroes,PineNiwakiB,-37.73,163.63,70.53,75.3,1.0000
Heroes,Heroes,PoolIris_1,-367.00,189.54,-2.00,24.0,1.0000
Heroes,Heroes,PoolIris_2,-345.00,187.73,-4.00,299.0,1.0000
Heroes,Heroes,MapleRed,-106.63,166.05,52.96,293.9,1.4850
Heroes,Heroes,SugiB,52.25,124.18,39.88,0.0,1.0011
Heroes,Hero_new_CedarS,RedwoodTree-Var01,55.20,123.53,56.26,125.9,0.1430
Heroes,Heroes,SugiF,49.75,135.39,-45.42,0.0,0.9953
Heroes,Heroes,PineNiwakiA,-19.37,175.36,91.07,34.3,1.0000
Heroes,Heroes,PineNiwakiC,56.13,114.88,50.66,202.1,0.7987
Heroes,Hero_new_FirM,RedwoodTree-Var01,41.99,158.56,88.71,251.6,0.3203
Heroes,Heroes,PoolIris_5,-358.00,188.75,18.00,95.0,1.0000
Heroes,Hero_new_FirM,RedwoodTree-Var01,16.29,179.19,106.29,251.6,0.1762
Heroes,Hero_new_CedarM,RedwoodTree-Var01,29.91,139.11,-84.31,284.4,0.2300
Heroes,Heroes,MapleRed,23.64,132.97,57.70,330.9,0.8692
Heroes,Heroes,DockIris_1,-365.63,188.01,-19.65,276.6,1.0000
Heroes,Heroes,MapleGold,28.81,129.73,56.07,212.3,0.9098
Heroes,Hero_new_CedarM,RedwoodTree-Var01,8.08,172.62,104.12,284.4,0.1707
Heroes,Heroes,MapleGreen,-6.44,145.65,-60.29,244.5,1.3516
Heroes,Heroes,MapleGold,-16.22,137.31,-51.35,128.4,0.9810
Heroes,Hero_new_CedarS,RedwoodTree-Var01,13.93,147.43,-87.84,251.8,0.1430
Heroes,Heroes,DockHero_2,-338.11,191.43,-25.00,0.0,0.5455
Heroes,Heroes,PoolIris_3,-369.00,188.68,15.00,137.0,1.0000
Heroes,Heroes,PoolIris_7,-345.00,188.83,-29.00,286.0,1.0000
Heroes,Hero_new_FirM,RedwoodTree-Var01,11.96,153.22,85.77,251.6,0.3203
Preserve,Core,XfSpruceYb,-187.85,160.66,-15.75,153.9,1.0021
Preserve,Core,XfSpruceMT,-335.46,200.48,38.84,175.8,1.1307
Preserve,Core,XfHinokiMT,-313.04,200.43,56.29,216.1,1.0153
Preserve,Core,XfFirMT,-100.12,149.67,36.73,310.4,0.9845
Preserve,Core,XfSpruceMT,-332.34,204.52,-52.83,111.1,1.0543
Preserve,Core,XfHinokiMT,-279.46,204.88,52.17,131.4,0.9775
Preserve,Core,XfHinokiMT,-233.44,220.52,-55.62,357.3,1.0029
Preserve,Core,XfSpruceYb,-385.00,218.32,-55.41,197.3,1.0020
Preserve,Core,XfHinokiT,-99.93,160.76,-43.42,82.4,1.2960
Preserve,Core,XfHinokiMT,-403.42,222.86,16.67,268.2,1.0238
Preserve,Core,XfHinokiMT,-231.30,196.93,-35.17,152.6,1.2707
Preserve,Core,XfFirYb,-383.04,213.76,-39.46,213.8,0.9752
Preserve,Core,XfHinokiMT,-224.70,191.76,-48.99,77.9,1.0360
Preserve,Core,XfHinokiYb,-100.10,155.79,-53.09,223.1,1.0283
Preserve,Core,XfSpruceMT,-386.92,213.25,20.82,288.7,1.0379
Preserve,Core,XfFirMT,-158.85,166.12,-31.48,272.1,1.1358
Preserve,Core,XfFirMT,-151.15,162.57,-39.81,338.6,0.9674
Preserve,Core,XfFirMT,-99.14,150.62,-36.30,227.7,0.9866
Preserve,Core,XfSpruceMT,-395.51,227.21,14.85,190.0,1.4088
Preserve,Core,XfFirMT,-153.03,164.07,31.49,225.2,1.3736
Preserve,Core,XfSpruceMT,-396.85,220.60,8.09,173.0,0.9850
Preserve,Core,XfHinokiMT,-416.43,250.10,59.77,338.9,1.1871
Preserve,Core,XfSpruceYb,-158.86,163.28,-46.86,249.9,1.1468
Preserve,Core,XfHinokiMT,-324.42,200.86,-52.85,169.8,1.0149
Preserve,Core,XfFirMT,-225.15,182.45,-20.98,333.4,1.0335
Preserve,Core,XfHinokiMT,-324.27,196.09,-36.31,263.8,1.0124
Preserve,Core,XfFirMT,-166.82,166.17,-39.88,6.6,0.9154
Preserve,Core,XfHinokiT,-91.05,158.45,-44.51,311.3,0.9618
Preserve,Core,XfFirMT,-160.19,168.88,-40.71,129.9,1.4074
Preserve,Core,XfFirMT,-107.50,151.49,35.54,359.1,0.9581
Preserve,Core,XfHinokiYb,-215.77,171.43,-43.79,326.0,1.1276
Preserve,Core,XfHinokiMT,-408.92,243.83,59.60,304.6,1.0860
Preserve,Core,XfFirYb,-92.31,157.02,-52.43,76.6,0.9326
Preserve,Core,XfFirMT,-160.63,163.82,40.34,116.4,1.0612
Preserve,Core,XfSpruceMT,-395.61,220.99,23.48,59.4,1.0940
Preserve,Core,XfFirMT,-106.85,154.71,45.06,253.2,1.0837
Preserve,Core,XfSpruceMT,-315.31,197.94,-43.64,287.1,1.1082
Preserve,Core,XfFirYb,-144.66,153.60,31.30,173.9,0.9233
Preserve,Core,XfSpruceMT,-160.70,163.53,23.71,205.6,1.0803
Preserve,Core,XfHinokiYb,-416.72,233.52,53.20,265.6,1.0640
Preserve,Core,XfFirYb,-91.14,145.03,-36.93,243.2,1.0924
Preserve,Core,XfSpruceMT,-324.51,201.21,-44.10,352.7,1.2694
Preserve,Core,XfFirYb,-196.88,163.24,-15.65,326.0,0.9347
Preserve,Core,XfHinokiMT,-330.97,202.41,-44.86,304.5,1.1239
Preserve,Core,XfFirMT,-211.88,169.90,-7.72,10.1,0.8580
Preserve,Core,XfSpruceMT,-197.08,168.31,-0.31,39.7,0.9976
Preserve,Core,XfFirYb,-215.18,166.79,-37.11,122.7,0.8960
Preserve,Core,XfHinokiMT,-403.18,228.44,51.95,171.4,1.0785
Preserve,Core,XfFirMT,-196.05,168.81,-7.92,84.9,1.1011
Preserve,Core,XfFirMT,-117.17,154.15,35.02,94.8,0.9443
Preserve,Core,XfFirMT,-152.44,165.89,-48.89,163.1,1.1049
Preserve,Core,XfHinokiYb,-328.81,190.65,31.48,8.8,1.1296
Preserve,Core,XfSpruceYb,-203.31,162.57,-8.39,255.2,1.0547
Preserve,Core,XfSpruceYb,-159.04,157.27,31.88,6.6,1.0407
Preserve,Core,XfFirYb,-376.93,216.61,-48.56,76.3,1.0021
Preserve,Core,XfHinokiMT,-100.08,152.06,43.56,12.1,1.1072
Preserve,Core,XfSpruceMT,-152.81,161.31,23.17,65.4,0.9699
Preserve,Core,XfFirMT,-107.61,157.41,52.32,11.5,0.9205
Preserve,Core,XfFirYb,-392.97,214.70,-48.43,140.2,0.9966
Preserve,Core,XfHinokiYb,-288.45,196.11,53.10,73.1,1.1249
Preserve,Core,XfSpruceMT,-384.66,224.21,-47.43,225.6,1.3776
Preserve,Core,XfSpruceYb,-144.56,153.51,25.04,156.4,0.9989
Preserve,Core,XfHinokiYb,-304.01,196.64,55.71,1.5,0.9640
Preserve,Core,XfHinokiMT,-228.64,180.84,-27.72,180.0,0.8809
Preserve,Core,XfFirMT,-204.13,169.81,-0.86,91.9,1.0967
Preserve,Core,XfHinokiYb,-286.84,207.00,59.26,315.9,0.9608
Preserve,Core,XfHinokiMT,-401.01,224.97,60.39,230.3,0.8779
Preserve,Core,XfFirMT,-205.04,167.15,-15.26,77.0,0.8582
Preserve,Core,XfSpruceMT,-187.62,166.76,-7.60,132.2,0.8881
Preserve,Core,XfHinokiT,-335.79,203.72,32.02,108.2,1.3017
Preserve,Core,XfFirMT,-218.81,184.61,-27.05,27.8,0.9358
Preserve,Core,XfSpruceYb,-168.78,165.85,-46.86,318.7,0.9292
Preserve,Core,XfFirMT,-168.48,167.22,-32.30,87.4,1.1467
Preserve,Core,XfHinokiMT,-294.95,204.59,56.36,256.2,1.3222
Preserve,Core,XfHinokiYb,-99.16,161.75,-60.57,253.7,1.1402
Preserve,Core,XfHinokiT,-335.16,198.68,24.52,264.8,1.0636
Preserve,Core,XfSpruceMT,-343.94,198.88,32.56,358.6,0.8902
Preserve,Grove_HighShoulder,XfHinokiYb,-380.89,200.52,17.14,116.8,1.1440
Preserve,Grove_HighShoulder,XfSpruceMT,-380.05,210.27,31.47,212.5,0.8502
Preserve,Grove_HighShoulder,XfSpruceMT,-378.85,211.06,22.93,18.8,1.3943
Preserve,Grove_HighShoulder,XfSpruceYb,-371.49,204.58,31.51,45.6,1.0592
Preserve,Grove_HighShoulder,XfSpruceMT,-387.79,212.92,31.46,250.7,0.9344
Preserve,Grove_HighShoulder,XfHinokiMT,-372.95,205.82,24.64,318.4,1.0623
Preserve,Grove_HighShoulder,ASSW,-387.69,211.82,24.00,106.1,1.1456
Preserve,Grove_Maple,XfMapleM,-347.22,202.72,-51.42,33.0,0.9627
Preserve,Grove_Maple,XfMapleM,-359.16,204.92,-48.32,150.3,0.9338
Preserve,Grove_Maple,XfMapleA,-352.55,205.25,-47.93,347.7,1.0839
Preserve,Grove_Maple,XfMapleM,-356.50,203.76,-53.12,152.7,0.8629
Preserve,Grove_Maple,XfMapleM,-355.04,202.81,-44.71,288.4,0.9914
Preserve,Grove_Maple,XfMapleA,-347.37,202.23,-44.53,311.6,0.9742
Preserve,Grove_Maple,XfMapleM,-351.79,204.70,-57.15,18.9,0.9637
Preserve,Grove_SouthBench,XfSugi25T,-336.59,200.92,40.72,168.4,1.0529
Preserve,Grove_SouthBench,XfHinokiMT,-343.27,198.18,33.02,154.0,0.9040
Preserve,Grove_SouthBench,XfSugi25T,-336.41,197.69,23.67,5.9,1.1415
Preserve,Grove_SouthBench,XfHinokiYb,-345.11,192.98,25.16,228.5,1.0745
Preserve,Grove_SouthBench,XfHinokiMT,-328.99,195.30,30.80,349.8,0.9982
Preserve,Grove_SouthBench,XfSugi25T,-326.94,195.90,23.22,341.3,0.9710
Preserve,Grove_SouthBench,XfHinokiMT,-335.45,198.35,32.34,298.6,1.1587
Preserve,Grove_SouthBench,XfHinokiMT,-327.55,198.48,39.20,346.5,1.0385
